k,month,first_monday,cutoff_friday,t_in,t_out,pair,dir,policy_dir,rate_base_pct,rate_quote_pct,rate_differential,abs_differential,src_date_base,src_date_quote,age_base_days,age_quote_days,regime_base,regime_quote,atr,atr_last_session,gross_usd,notional_usd,stop_risk_usd,days_held,exit_reason,entry_bar_stop,entry_px,exit_px,stop_px,exit_bar_open_bid,exit_bar_spread_px,entry_graph_timestamp,exit_graph_timestamp,entry_graph_residual_rms,exit_graph_residual_rms,q2u_entry,q2u_exit,policy_credit_usd,swap_snapshot_usd,is_signal,signal_pair,signal_dir,signal_diff,financing_usd,credit_usd,net_usd,equity_after
1,2021-09,2021-09-06,2021-09-03,2021-09-07 00:00:00+00:00,2021-10-05 00:00:00+00:00,USDCHFm,1,1,0.125,-0.75,0.875,0.875,2021-09-03,2021-09-03,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.005390499999999981,2021-09-03,10.810669362756807,1000.0808582483975,8.837792956766215,28.0,rebalance,False,0.91498,0.92498,0.90689425,0.92498,0.0001,2021-09-07 00:00:00+00:00,2021-10-05 00:00:00+00:00,3.805376437880125e-05,1.7527125816702e-05,1.0930084354285312,1.0810669362756797,0.6712871514270065,0.0,True,USDCHFm,1,0.875,0.0,0.0,10.810669362756807,989.8106693627568
2,2021-10,2021-10-04,2021-10-01,2021-10-05 00:00:00+00:00,2021-10-22 08:00:00+00:00,USDCHFm,1,1,0.125,-0.75,0.875,0.875,2021-10-01,2021-10-01,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.005611499999999997,2021-10-01,-9.178868296364614,1000.0734014099058,9.09961066936646,17.333333333333332,stop,False,0.92508,0.91666275,0.91666275,0.90935,0.0001,2021-10-05 00:00:00+00:00,2021-10-22 08:00:00+00:00,1.7527125816702e-05,1.936149064550794e-05,1.0810669362756797,1.0904830314371758,0.4155556142844814,0.0,True,USDCHFm,1,0.875,0.0,0.0,-9.178868296364614,980.6318010663922
3,2021-11,2021-11-01,2021-10-29,2021-11-02 00:00:00+00:00,2021-12-07 01:00:00+00:00,USDCHFm,1,1,0.125,-0.75,0.875,0.875,2021-10-29,2021-10-29,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.005183999999999994,2021-10-29,17.160287986608584,1000.0711461699301,8.550830977642935,35.041666666666664,rebalance,False,0.90945,0.92533,0.901674,0.92533,0.0001,2021-11-02 00:00:00+00:00,2021-12-07 01:00:00+00:00,2.0169714368209718e-05,1.736170748935629e-05,1.099643901445852,1.0806226691819005,0.8400997199632388,0.0,True,USDCHFm,1,0.875,0.0,0.0,17.160287986608584,997.7920890530008
4,2021-12,2021-12-06,2021-12-03,2021-12-07 01:00:00+00:00,2021-12-28 09:00:00+00:00,USDCHFm,1,1,0.125,-0.75,0.875,0.875,2021-12-03,2021-12-03,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.005927499999999997,2021-12-03,-9.694199412351846,1000.0406367410063,9.608086307363571,21.333333333333332,stop,False,0.92543,0.91653875,0.91653875,0.9177,0.0001,2021-12-07 01:00:00+00:00,2021-12-28 09:00:00+00:00,1.736170748935629e-05,2.0622569638517593e-05,1.0806226691819005,1.0903078208746608,0.5114363073743959,0.0,True,USDCHFm,1,0.875,0.0,0.0,-9.694199412351846,988.097889640649
5,2022-01,2022-01-03,2021-12-31,2022-01-04 01:00:00+00:00,2022-02-08 01:00:00+00:00,GBPCHFm,1,1,0.25,-0.75,1.0,1.0,2021-12-31,2021-12-31,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.00810700000000002,2021-12-31,13.818101530503437,1347.992560085305,13.250556565287683,35.0,rebalance,False,1.2371,1.24986,1.2249395,1.24986,0.00027,2022-01-04 01:00:00+00:00,2022-02-08 01:00:00+00:00,2.1028237316922054e-05,2.4185684909061018e-05,1.0896391238261296,1.0829233174375834,1.2925956055612513,0.0,True,GBPCHFm,1,1.0,0.0,0.0,13.818101530503437,1001.9159911711524
6,2022-02,2022-02-07,2022-02-04,2022-02-08 01:00:00+00:00,2022-02-24 04:00:00+00:00,GBPCHFm,1,1,0.5,-0.75,1.25,1.25,2022-02-04,2022-02-04,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.008020500000000019,2022-02-04,-13.10781585688802,1353.7949268282462,13.028379701262237,16.125,stop,False,1.25013,1.2380992499999999,1.2380992499999999,1.21334,0.00027,2022-02-08 01:00:00+00:00,2022-02-24 04:00:00+00:00,2.4185684909061018e-05,3.0559965110147686e-05,1.0829233174375834,1.0895260775003988,0.7476007943529271,0.0,True,GBPCHFm,1,1.25,0.0,0.0,-13.10781585688802,988.8081753142644
9,2022-05,2022-05-02,2022-04-29,2022-05-03 00:00:00+00:00,2022-05-10 00:00:00+00:00,NZDJPYm,1,1,1.5,-0.1,1.6,1.6,2022-04-29,2022-04-29,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,1.0752499999999992,2022-04-29,-12.370686937555083,644.3400931739329,12.396107015815476,7.0,stop,False,83.836,82.223125,82.223125,85.678,0.029,2022-05-03 00:00:00+00:00,2022-05-10 00:00:00+00:00,7.016148437777542e-05,4.909175906618627e-05,0.007685720849920474,0.0076699601255863364,0.1977153162615904,0.0,True,NZDJPYm,1,1.6,0.0,0.0,-12.370686937555083,976.4374883767093
10,2022-06,2022-06-06,2022-06-03,2022-06-07 00:00:00+00:00,2022-06-13 14:00:00+00:00,NZDJPYm,1,1,2.0,-0.1,2.1,2.1,2022-06-03,2022-06-03,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,1.242800000000002,2022-06-03,-13.948824562572538,648.4132637340197,14.103538873755486,6.583333333333333,stop,False,85.707,83.8428,83.8428,84.41,0.029,2022-06-07 00:00:00+00:00,2022-06-13 14:00:00+00:00,1.0951714304550158e-05,2.531919342575827e-05,0.00756546447471058,0.00748247213956258,0.2455976266061047,0.0,True,NZDJPYm,1,2.1,0.0,0.0,-13.948824562572538,962.4886638141368
11,2022-07,2022-07-04,2022-07-01,2022-07-05 00:00:00+00:00,2022-08-02 00:00:00+00:00,NZDJPYm,1,1,2.0,-0.1,2.1,2.1,2022-07-01,2022-07-01,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,1.1177499999999974,2022-07-01,-9.444020258790777,621.490471634451,12.34034583550384,28.0,rebalance,False,84.439,83.198,82.76237499999999,83.198,0.029,2022-07-05 00:00:00+00:00,2022-08-02 00:00:00+00:00,2.601490326415912e-05,4.02558170496623e-05,0.007360230126297693,0.007610008266551797,1.0011956090987868,0.0,True,NZDJPYm,1,2.1,0.0,0.0,-9.444020258790777,953.0446435553459
12,2022-08,2022-08-01,2022-07-29,2022-08-02 00:00:00+00:00,2022-08-11 12:00:00+00:00,USDCHFm,1,1,2.375,-0.25,2.625,2.625,2022-07-29,2022-07-29,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.007849499999999987,2022-07-29,-12.522276977940251,1000.0708043761248,12.392085610997112,9.5,stop,False,0.95021,0.93843575,0.93843575,0.97854,0.00014000000000000001,2022-08-02 00:00:00+00:00,2022-08-11 12:00:00+00:00,4.02558170496623e-05,1.9864908981256853e-05,1.052473457842082,1.0635307538009016,0.6832675529898525,0.0,True,USDCHFm,1,2.625,0.0,0.0,-12.522276977940251,940.5223665774057
